_ba_pa_ma_fa_da_ta_na_la	爸趴妈发打他那拉
_ga_ka_ha_a_jia_qia_xia_e	嘎咖哈啊家洽虾额
_zha_cha_sha_ya_za_ca_sa_wu	炸查沙哑砸擦萨乌
_duan_tuan_nuan_luan_pan_man_fan_ei	端团暖乱判蛮烦欸
_guan_kuan_huan_wan_an_ran_ang_ei	官款换晚安然昂欸
_zhuan_chuan_shuan_ruan_zuan_cuan_suan_e	转船涮软钻窜算额
_bai_pai_mai_ai_tai_nai_lai_ao	摆拍迈埃太奶莱奥
_gai_kai_hai_wai_chai_shai_ei_e	改开海外拆晒欸额
_zai_cai_sai_rao_a_rang_a_ei	再猜赛绕啊让啊欸
_bo_po_mo_fo_wu_e_wu_a	波泼墨佛无恶呜啊
_duo_tuo_nuo_luo_guo_kuo_huo_e	多托诺罗国阔霍额
_zhuo_chuo_shuo_ruo_zuo_cuo_suo_a	卓戳说若做错索啊
_de_te_ne_le_ge_ke_he_e	得特讷勒哥渴和饿
_zhe_che_she_re_ze_ce_se_a	这车设热则测色啊
_bu_pu_mu_fu_du_tu_nu_lu	不铺幕府赌徒奴鲁
_zhu_chu_shu_ru_gu_ku_hu_ou	住处输入孤苦互殴
_bei_pei_mei_fei_dei_tei_nei_lei	被培梅菲嘚忒内类
_gei_kei_hei_zei_yun_a_zhei_shei	给剋黑贼晕啊这谁
_gui_kui_hui_wei_dui_tui_yin_ou	归愧悔卫队退隐偶
_zhui_chui_shui_rui_zui_cui_sui_ei	追吹水瑞最脆随欸
_bie_pie_mie_ye_die_tie_nie_lie	别撇灭野爹铁涅列
_jie_qie_xie_ei_jian_qian_xian_wu	截切写欸捡钱仙五
_yue_ao_jue_a_que_en_xue_e	粤澳绝啊却恩雪儿
_nue_yu_ei_ou_lue_wu_ei_ao	虐鱼欸偶略无欸奥
_dian_tian_nian_lian_bian_pian_mian_ei	点天年连边片面欸
_yuan_e_juan_ou_quan_ai_xuan_ao	员额卷偶全爱玄奥
_diao_tiao_niao_liao_biao_piao_miao_en	掉条尿疗表飘渺恩
_gao_kao_hao_yao_jiao_qiao_xiao_e	高考好要娇俏小额
_zhao_chao_shao_rao_zao_cao_sao_wu	照抄少扰早操扫五
_bang_pang_mang_fang_dang_tang_nang_lang	帮旁忙放荡堂囊浪
_guang_kuang_huang_qiang_xiang_ou_e_ei	光狂黄强想呕额欸
_zhuang_chuang_shuang_wang_rang_cang_sang_e	装床双网让沧桑额
_diu_tou_niu_liu_kou_hou_ao_ei	丢头牛柳口后奥欸
_zhou_chou_shou_rou_cou_sou_ou_a	粥稠瘦肉凑搜偶啊
_jiu_qiu_xiu_you_miu_fou_wo_ou	九球绣有缪否我偶
