_ba_pa_ma_fa_da_ta_na_la	爸趴妈发打他那拉
_ga_ka_ha_a_jia_qia_xia_wang	尬卡哈啊假掐下网
_zha_cha_sha_ya_za_ca_sa_ran	扎差啥呀咋擦飒然
_duan_tuan_nuan_luan_zhuan_chuan_shuan_ruan	短团暖乱转传栓软
_guan_kuan_huan_zuan_cuan_suan_shi_he	官款换钻穿算适合
_bo_po_mo_fo_wan_zhei_shei_yu	波泼墨佛玩这谁与
_duo_tuo_nuo_luo_guo_kuo_huo_e	多托诺罗国阔霍额
_zhuo_chuo_shuo_ruo_zuo_cuo_suo_a	卓戳说若做错索啊
_de_te_ne_le_ge_ke_he_e	得特讷勒哥渴和饿
_zhe_che_she_re_ze_ce_se_ei	这车设热则测色欸
_bu_pu_mu_fu_du_tu_nu_lu	不铺幕府赌徒奴鲁
_zhu_chu_shu_ru_gu_ku_hu_ou	住处输入孤苦互殴
_bei_pei_mei_fei_dei_tei_nei_lei	被培梅菲嘚忒内类
_gei_kei_hei_zei_yuan_juan_quan_xuan	给剋黑贼原卷全选
_gui_kui_hui_wei_dui_tui_yi_ou	归愧悔卫队退亿欧
_zhui_chui_shui_rui_zui_cui_sui_ei	追吹水瑞最脆随欸
_bie_pie_mie_ye_die_tie_nie_lie	别撇灭野爹铁涅列
_jie_qie_xie_en_jian_qian_xian_yan	截切写恩捡钱鲜艳
_yue_jue_que_xue_a_nue_lue_e	越绝缺血啊虐略饿
_dian_tian_nian_lian_diao_tiao_niao_liao	点天年连掉条尿疗
_bian_pian_mian_biao_piao_miao_shi_qi	便片面标飘渺湿气
_gao_kao_hao_jiao_qiao_xiao_ci_ke	高考好娇俏小刺客
_zhao_chao_shao_rao_zao_cao_sao_yao	照抄少扰早操扫药
_bang_pang_mang_fang_dang_tang_nang_lang	帮旁忙放荡堂囊浪
_guang_kuang_huang_zhuang_chuang_shuang_ci_wu	光狂黄庄窗霜此物
_diu_tou_niu_liu_kou_hou_ei_ou	丢头牛柳口后欸偶
_zhou_chou_shou_rou_ou_cou_sou_a	粥稠瘦肉偶凑搜啊
_jiu_qiu_xiu_you_miu_fou_wo_ou	九球绣有缪否我偶
_dun_tun_nen_lun_pen_men_fen_a	顿屯嫩论喷门分啊
_zhun_chun_shun_run_zun_cun_sun_en	准纯顺润尊村孙恩
_gun_kun_hun_wen_zu_cu_su_wu	滚坤混问祖粗俗五
_beng_peng_meng_feng_deng_teng_neng_leng	泵棚梦风登腾能冷
_zeng_ceng_seng_reng_geng_keng_heng_ei	增层僧仍更坑哼欸
_dong_tong_nong_long_zhong_chong_yong_rong	东通弄龙中冲雍容
_gong_kong_hong_zong_cong_song_chi_ei	工控洪总从送吃欸
_jiong_qiong_xiong_zheng_cheng_sheng_eng_ao	囧穷凶整成生鞥奥
_di_ti_ni_li_bi_pi_mi_e	地替你利弊披靡额
_ji_qi_xi_yi_fo_ei_a_ao	机器西医佛欸啊奥
_si_qi_sheng_yi_chen_yi_ci_yi	思其生意陈意词意
_ju_qu_xu_yu_nv_lv_fo_ao	据去虚誉女率佛奥
_chi_ku_yu_teng_qi_ao_chi_a	吃苦鱼藤齐奥吃啊
_yu_yi_yu_chuo_yu_sheng_yu_pi	寓意于辍余生鱼皮
_ci_e_a_e_yu_a_ei_e	此饿啊饿与阿欸额
_che_me_pou_yu_er_lia_er_e	车么剖于儿俩而恶
_yi_ke_qi_he_xi_re_yi_wu	一刻起和吸热义务
_si_lie_kei_qie_hei_xie_rou_ao	撕裂剋且黑鞋肉奥
_er_mi_er_fo_er_ou_e_fo	而弥尔佛而欧俄佛
_en_qu_ku_qu_hu_xu_ru_ao	恩区库区胡须如奥
_you_po_qie_fo_xi_hen_xie_ei	油泼且佛系很邪欸
_chi_en_e_eng_a_eng_e_ang	吃嗯额鞥啊鞥额昂
_er_shi_er_reng_xie_er_peng_wu	而是而仍谢尔棚屋
_ci_ei_er_niu_er_ken_er_a	此欸尔牛尔肯儿啊
_er_wu_er_er_sen_ei_er_chi	而无尔尔森欸而迟
_er_ci_er_heng_er_ei_chi_wu	而此而恒而欸池舞
_chi_yu_e_er_ao_er_tie_ao	吃鱼俄而奥尔铁奥
_zhi_chi_shi_ri_ci_ci_si_chi	支持十日次次四尺
_ci_shi_si_ri_yi_si_en_ao	此时四日意思恩奥
_ci_pie_ci_mu_e_wu_a_dia	此撇慈母恶巫啊嗲
_si_nie_si_ao_zi_a_yu_ao	斯涅斯奥子啊羽奥
_chi_pie_chi_mi_chi_tie_yu_ei	吃撇痴迷赤铁与欸
_shi_nie_shi_li_shi_xu_si_xu	是捏实力诗叙思绪
_er_yu_wu_yi_shi_fo_yi_ei	而与无意石佛一欸
_er_qu_er_xu_men_yu_ci_fo	而去而需门与此佛
_ci_tie_wu_ei_ao_ci_yu_ou	磁铁五欸奥茨与偶
_chi_ao_chi_e	驰奥驰额
