_ba_pa_ma_fa_da_ta_na_la	爸趴妈发打他那拉
_ga_ka_ha_a_jia_qia_xia_wang	尬卡哈啊假掐下网
_zha_cha_sha_ya_za_ca_sa_ran	扎差啥呀咋擦飒然
_duan_tuan_nuan_luan_zhuan_chuan_shuan_ruan	短团暖乱转传栓软
_guan_kuan_shi_huan_zuan_cuan_chi_suan	官款使唤钻窜吃蒜
_bo_po_mo_fo_wan_zhei_shei_yu	波泼墨佛玩这谁与
_duo_tuo_nuo_luo_guo_kuo_huo_e	多托诺罗国阔霍额
_zhuo_chuo_shuo_ruo_zuo_cuo_suo_a	卓戳说若做错索啊
_de_te_ne_le_ge_ke_he_e	得特讷勒哥渴和饿
_zhe_che_she_re_ze_ce_se_ei	这车设热则测色欸
_bu_pu_mu_fu_du_tu_nu_lu	不铺幕府赌徒奴鲁
_zhu_chu_shu_ru_gu_ku_hu_ou	住处输入孤苦互殴
_bei_pei_mei_fei_dei_tei_nei_lei	被培梅菲嘚忒内类
_gei_kei_hei_zei_jie_qie_xie_en	给剋黑贼截切写恩
_gui_kui_hui_wei_dui_tui_yi_ou	归愧悔卫队退亿欧
_zhui_chui_shui_rui_zui_cui_sui_ei	追吹水瑞最脆随欸
_bie_pie_mie_ye_die_tie_nie_lie	别撇灭野爹铁涅列
_yue_jue_que_xue_a_nue_lue_e	越绝缺血啊虐略饿
_shi_miao_biao_piao_diao_tiao_niao_liao	十秒表票掉条尿疗
_gao_ci_kao_hao_jiao_qiao_si_xiao	告辞考号娇俏四小
_zhao_chao_shao_rao_zao_cao_sao_yao	照抄少扰早操扫药
_bang_pang_mang_fang_dang_tang_nang_lang	帮旁忙放荡堂囊浪
_guang_chi_kuang_huang_zhuang_si_chuang_shuang	光痴狂黄装死窗霜
_diu_niu_liu_you_jiu_qiu_xiu_miu	丢牛柳有九球绣谬
_dun_tun_nen_lun_pen_men_fen_a	顿屯嫩论喷门分啊
_zhun_chun_shun_run_zun_cun_sun_en	准纯顺润尊村孙恩
_gun_kun_hun_wen_zu_cu_su_wu	滚坤混问祖粗俗五
_beng_peng_meng_feng_deng_teng_neng_leng	泵棚梦风登腾能冷
_zeng_ceng_seng_reng_geng_keng_heng_ei	增层僧仍更坑哼欸
_dong_tong_nong_long_zhong_chong_yong_rong	东通弄龙中冲雍容
_gong_kong_si_hong_zong_zi_cong_song	工控思宏粽子从红
_jiong_qiong_xiong_zheng_cheng_sheng_eng_ao	囧穷凶整成生鞥奥
_di_ti_ni_li_bi_pi_mi_e	地替你利弊披靡额
_ji_qi_xi_yi_fo_ei_a_ao	机器西医佛欸啊奥
_si_qi_sheng_yi_chen_yi_ci_yi	思其生意陈意词意
_ju_qu_xu_yu_nv_lv_fo_ao	据去虚誉女率佛奥
_chi_pie_chi_wu_yu_teng_qi_ao	吃撇持无鱼藤齐奥
_yu_yi_yu_chuo_yu_sheng_yu_pi	寓意于辍余生鱼皮
_ci_e_a_e_yu_a_ei_e	此饿啊饿与阿欸额
_che_me_pei_ou_er_ken_er_a	车么配偶尔肯儿啊
_yi_ke_qi_he_xi_re_yi_wo	一刻起和吸热依我
_si_lie_kei_qie_hei_xie_ruo_ou	撕裂剋且黑鞋若偶
_er_mi_er_fo_er_ou_e_fo	而弥尔佛而欧俄佛
_en_qu_ku_qu_hu_xu_ru_ao	恩区库区胡须如奥
_ci_yu_ou_po_qie_fen_xie_ei	词语欧珀切分写欸
_chi_en_e_eng_a_eng_e_ang	吃嗯额鞥啊鞥额昂
_er_shi_er_reng_xie_er_peng_wu	而是而仍谢尔棚屋
_er_wu_er_nv_er_lia_er_e	而无而女儿俩而恶
_er_er_sen_ei_er_chi_ei_ao	尔尔森欸而迟欸奥
_er_ci_er_heng_er_xu_men_yu	而此而恒而需门与
_chi_yu_e_er_yu_wu_yi_a	吃鱼厄尔雨雾一啊
_zhi_chi_shi_ri_ci_si_shi_e	支持十日此司是恶
_si_nie_si_ri_yi_si_en_ao	斯涅四日意思恩奥
_ci_pie_ci_mu_e_wu_a_dia	此撇慈母恶巫啊嗲
_ci_tie_wu_ei_ci_a_yu_ao	磁铁五欸次啊羽奥
_shi_fo_yi_ei_chi_tie_yu_ei	石佛一欸赤铁与欸
_shi_nie_shi_li_shi_xu_si_wu	什涅实力诗叙斯乌
_er_qu_ci_fo_xi_er_tie_ao	而去此佛希尔铁奥
_chi_qi_chi_ao_chi_a_er_yi	吃起持奥吃啊而已
_er_ei_er_ao_ci_ei_ci_ao	而欸而奥次欸次奥
